iter	Passed	Remaining
399	980	1470
400	982	1468
401	984	1464
402	986	1461
403	988	1457
404	989	1454
405	991	1450
406	993	1446
407	995	1443
408	996	1440
409	998	1436
410	999	1432
411	1001	1429
412	1003	1425
413	1004	1422
414	1006	1418
415	1008	1415
416	1010	1412
417	1011	1409
418	1013	1405
419	1015	1402
420	1016	1398
421	1018	1395
422	1022	1394
423	1024	1391
424	1026	1388
425	1027	1384
426	1029	1381
427	1031	1377
428	1032	1374
429	1038	1376
430	1040	1373
431	1041	1369
432	1043	1366
433	1045	1362
434	1046	1359
435	1050	1358
436	1051	1355
437	1054	1352
438	1056	1349
439	1058	1346
440	1059	1343
441	1061	1339
442	1063	1337
443	1066	1334
444	1067	1331
445	1069	1328
446	1071	1325
447	1072	1321
448	1074	1318
449	1075	1315
450	1079	1314
451	1081	1311
452	1083	1307
453	1084	1304
454	1086	1301
455	1087	1297
456	1089	1294
457	1091	1291
458	1093	1288
459	1094	1285
460	1096	1281
461	1097	1278
462	1099	1275
463	1100	1271
464	1102	1268
465	1104	1265
466	1105	1262
467	1108	1260
468	1110	1256
469	1111	1253
470	1113	1250
471	1115	1247
472	1116	1244
473	1118	1241
474	1120	1238
475	1121	1235
476	1123	1231
477	1125	1228
478	1126	1225
479	1128	1222
480	1129	1218
481	1131	1215
482	1133	1213
483	1135	1210
484	1136	1207
485	1138	1203
486	1139	1200
487	1141	1197
488	1142	1194
489	1144	1190
490	1145	1187
491	1147	1185
492	1149	1182
493	1151	1179
494	1152	1175
495	1154	1172
496	1155	1169
497	1157	1166
498	1158	1163
499	1160	1160
500	1163	1158
501	1164	1155
502	1166	1152
503	1167	1148
504	1168	1145
505	1170	1142
506	1172	1140
507	1173	1136
508	1177	1135
509	1178	1132
510	1180	1129
511	1181	1126
512	1183	1123
513	1185	1120
514	1187	1118
515	1189	1115
516	1191	1112
517	1193	1110
518	1195	1108
519	1197	1105
520	1198	1102
521	1200	1099
522	1203	1098
523	1206	1095
524	1207	1092
525	1210	1090
526	1213	1089
527	1217	1087
528	1218	1084
529	1220	1082
530	1221	1079
531	1229	1081
532	1231	1079
533	1233	1076
534	1234	1073
535	1236	1070
536	1238	1067
537	1240	1064
538	1241	1062
539	1243	1059
540	1246	1057
541	1248	1054
542	1250	1052
543	1252	1049
544	1253	1046
545	1255	1044
546	1260	1044
547	1262	1041
548	1264	1038
549	1265	1035
550	1267	1033
551	1269	1030
552	1273	1029
553	1275	1027
554	1277	1024
555	1279	1021
556	1280	1018
557	1283	1016
558	1285	1013
559	1286	1011
560	1288	1008
561	1290	1005
562	1292	1002
563	1294	1000
564	1296	998
565	1298	995
566	1300	992
567	1302	990
568	1304	987
569	1306	985
570	1308	982
571	1310	980
572	1311	977
573	1313	975
574	1315	972
575	1317	969
576	1319	966
577	1320	964
578	1322	961
579	1323	958
580	1325	955
581	1326	952
582	1328	950
583	1330	947
584	1332	945
585	1333	942
586	1335	939
587	1337	937
588	1339	934
589	1340	931
590	1342	929
591	1344	926
592	1346	924
593	1350	923
594	1352	920
595	1354	918
596	1357	916
597	1360	914
598	1362	912
599	1365	910
600	1367	907
601	1369	905
602	1371	902
603	1372	900
604	1375	897
605	1376	895
606	1380	893
607	1383	892
608	1385	889
609	1388	887
610	1390	885
611	1392	882
612	1393	879
613	1395	877
614	1400	876
615	1403	874
616	1404	872
617	1406	869
618	1408	866
619	1410	864
620	1412	861
621	1413	859
622	1416	857
623	1418	854
624	1419	851
625	1421	849
626	1423	846
627	1425	844
628	1427	841
629	1429	839
630	1431	836
631	1432	834
632	1434	831
633	1436	829
634	1438	826
635	1440	824
636	1442	821
637	1443	819
638	1445	816
639	1447	814
640	1448	811
641	1450	808
642	1452	806
643	1454	804
644	1456	801
645	1457	798
646	1459	796
647	1461	793
648	1462	791
649	1464	788
650	1466	785
651	1467	783
652	1469	780
653	1471	778
654	1473	776
655	1474	773
656	1476	770
657	1477	768
658	1479	765
659	1481	762
660	1483	761
661	1485	758
662	1487	755
663	1488	753
664	1490	750
665	1492	748
666	1493	745
667	1495	743
668	1497	740
669	1499	738
670	1500	735
671	1502	733
672	1504	730
673	1505	728
674	1507	725
675	1508	723
676	1511	720
677	1512	718
678	1514	715
679	1516	713
680	1517	711
681	1519	708
682	1521	705
683	1522	703
684	1524	701
685	1526	698
686	1528	696
687	1529	693
688	1531	691
689	1533	688
690	1535	686
691	1536	683
692	1538	681
693	1540	679
694	1542	676
695	1543	674
696	1545	671
697	1547	669
698	1549	667
699	1551	664
700	1553	662
701	1554	660
702	1556	657
703	1557	654
704	1559	652
705	1560	649
706	1562	647
707	1565	645
708	1566	643
709	1568	640
710	1570	638
711	1571	635
712	1573	633
713	1575	630
714	1576	628
715	1578	626
716	1580	623
717	1582	621
718	1583	618
719	1585	616
720	1586	613
721	1587	611
722	1589	608
723	1591	606
724	1593	604
725	1594	601
726	1596	599
727	1597	596
728	1599	594
729	1600	592
730	1602	589
731	1603	587
732	1605	584
733	1607	582
734	1608	579
735	1610	577
736	1611	575
737	1613	572
738	1614	570
739	1615	567
740	1617	565
741	1619	563
742	1621	560
743	1622	558
744	1624	555
745	1625	553
746	1627	551
747	1628	548
748	1630	546
749	1631	543
750	1633	541
751	1635	539
752	1636	536
753	1638	534
754	1639	532
755	1641	529
756	1643	527
757	1645	525
758	1647	523
759	1649	520
760	1651	518
761	1653	516
762	1657	514
763	1659	512
764	1661	510
765	1664	508
766	1666	506
767	1668	504
768	1673	502
769	1675	500
770	1678	498
771	1681	496
772	1682	494
773	1684	491
774	1686	489
775	1688	487
776	1690	485
777	1693	483
778	1695	480
779	1697	478
780	1700	476
781	1701	474
782	1704	472
783	1708	470
784	1709	468
785	1711	465
786	1713	463
787	1715	461
788	1717	459
789	1719	457
790	1724	455
791	1726	453
792	1728	451
793	1732	449
794	1734	447
795	1738	445
796	1742	443
797	1745	441
798	1749	440
799	1760	440
800	1763	438
801	1766	436
802	1772	434
803	1774	432
804	1777	430
805	1779	428
806	1781	426
807	1784	423
808	1788	422
809	1791	420
810	1794	418
811	1797	416
812	1799	413
813	1801	411
814	1803	409
815	1806	407
816	1811	405
817	1814	403
818	1816	401
819	1818	399
820	1820	396
821	1823	394
822	1825	392
823	1827	390
824	1829	388
825	1831	385
826	1833	383
827	1835	381
828	1838	379
829	1839	376
830	1841	374
831	1843	372
832	1845	369
833	1847	367
834	1849	365
835	1852	363
836	1854	361
837	1856	358
838	1858	356
839	1861	354
840	1863	352
841	1865	350
842	1867	347
843	1869	345
844	1871	343
845	1874	341
846	1878	339
847	1881	337
848	1884	335
849	1886	332
850	1888	330
851	1892	328
852	1895	326
853	1898	324
854	1899	322
855	1901	319
856	1903	317
857	1905	315
858	1907	313
859	1911	311
860	1913	308
861	1916	306
862	1917	304
863	1919	302
864	1923	300
865	1925	297
866	1927	295
867	1929	293
868	1931	291
869	1933	288
870	1935	286
871	1939	284
872	1942	282
873	1944	280
874	1946	278
875	1948	275
876	1955	274
877	1957	272
878	1960	269
879	1962	267
880	1964	265
881	1968	263
882	1970	261
883	1972	258
884	1974	256
885	1975	254
886	1977	251
887	1979	249
888	1981	247
889	1982	245
890	1984	242
891	1986	240
892	1987	238
893	1989	235
894	1991	233
895	1992	231
896	1994	229
897	1996	226
898	1998	224
899	2000	222
900	2001	219
901	2003	217
902	2005	215
903	2006	213
904	2008	210
905	2010	208
906	2012	206
907	2014	204
908	2016	201
909	2017	199
910	2019	197
911	2020	194
912	2022	192
913	2023	190
914	2025	188
915	2027	185
916	2028	183
917	2030	181
918	2031	179
919	2032	176
920	2034	174
921	2035	172
922	2037	169
923	2039	167
924	2040	165
925	2042	163
926	2043	160
927	2045	158
928	2046	156
929	2048	154
930	2049	151
931	2051	149
932	2052	147
933	2054	145
934	2055	142
935	2057	140
936	2059	138
937	2060	136
938	2061	133
939	2063	131
940	2065	129
941	2066	127
942	2068	125
943	2069	122
944	2071	120
945	2072	118
946	2073	116
947	2075	113
948	2077	111
949	2079	109
950	2080	107
951	2082	104
952	2083	102
953	2085	100
954	2087	98
955	2088	96
956	2091	93
957	2095	91
958	2096	89
959	2098	87
960	2099	85
961	2101	82
962	2102	80
963	2107	78
964	2108	76
965	2110	74
966	2111	72
967	2113	69
968	2125	68
969	2128	65
970	2132	63
971	2134	61
972	2135	59
973	2137	57
974	2139	54
975	2141	52
976	2142	50
977	2144	48
978	2145	46
979	2147	43
980	2148	41
981	2150	39
982	2152	37
983	2154	35
984	2155	32
985	2157	30
986	2158	28
987	2160	26
988	2161	24
989	2163	21
990	2164	19
991	2168	17
992	2169	15
993	2171	13
994	2172	10
995	2174	8
996	2175	6
997	2177	4
998	2178	2
999	2185	0
